absolute_price_difference_at_day_1,absolute_price_difference_at_day_10,absolute_price_difference_at_day_3,absolute_price_difference_at_day_30,absolute_price_difference_at_day_5,announcement_date,announcement_date_close_price,percent_price_difference_at_day_1,percent_price_difference_at_day_10,percent_price_difference_at_day_3,percent_price_difference_at_day_30,percent_price_difference_at_day_5,price_at_day_1,price_at_day_10,price_at_day_3,price_at_day_30,price_at_day_5
-0.47,-1.45,-0.63,,-1.58,2017-11-08 00:00:00,84.56,-0.56,-1.74,-0.75,,-1.9,84.09,83.11,83.93,,82.98
-0.12,-1.75,-0.58,1.18,-1.01,2017-07-27 00:00:00,73.16,-0.16,-2.45,-0.8,1.59,-1.4,73.04,71.41,72.58,74.34,72.15
-0.85,-0.54,-0.88,0.96,-1.83,2017-05-10 00:00:00,69.31,-1.24,-0.79,-1.29,1.37,-2.71,68.46,68.77,68.43,70.27,67.48
-0.01,0.41,0.09,0.94,-0.17,2017-02-15 00:00:00,64.53,-0.02,0.63,0.14,1.44,-0.26,64.52,64.94,64.62,65.47,64.36
0.32,1.7,0.17,4.85,1.94,2016-11-10 00:00:00,58.7,0.54,2.81,0.29,7.63,3.2,59.02,60.4,58.87,63.55,60.64
0.02,1.83,0.39,1.47,0.78,2016-07-27 00:00:00,56.19,0.04,3.15,0.69,2.55,1.37,56.21,58.02,56.58,57.66,56.97
0.07,0.94,0.2,-0.18,1.18,2016-05-04 00:00:00,49.87,0.14,1.85,0.4,-0.36,2.31,49.94,50.81,50.07,49.69,51.05
-0.02,1.65,0.79,4.26,2.71,2016-02-10 00:00:00,49.71,-0.04,3.21,1.56,7.89,5.17,49.69,51.36,50.5,53.97,52.42
-0.02,-0.55,-0.24,1.73,-0.75,2015-11-04 00:00:00,54.4,-0.04,-1.02,-0.44,3.08,-1.4,54.38,53.85,54.16,56.13,53.65
-0.96,-0.97,-0.25,-3.28,-0.84,2015-08-05 00:00:00,47.58,-2.06,-2.08,-0.53,-7.4,-1.8,46.62,46.61,47.33,44.3,46.74
0.42,1.3,1.09,-0.31,1.35,2015-05-06 00:00:00,46.28,0.9,2.73,2.3,-0.67,2.83,46.7,47.58,47.37,45.97,47.63
0.71,1.61,1.49,-0.92,1.15,2015-02-11 00:00:00,42.38,1.65,3.66,3.4,-2.22,2.64,43.09,43.99,43.87,41.46,43.53
0.84,0.36,1.03,-2.12,0.92,2014-11-05 00:00:00,47.86,1.72,0.75,2.11,-4.63,1.89,48.7,48.22,48.89,45.74,48.78
