announcement_date,announcement_date_close_price,price_at_day_1,absolute_price_difference_at_day_1,percent_price_difference_at_day_1,price_at_day_3,absolute_price_difference_at_day_3,percent_price_difference_at_day_3,price_at_day_5,absolute_price_difference_at_day_5,percent_price_difference_at_day_5,price_at_day_10,absolute_price_difference_at_day_10,percent_price_difference_at_day_10,price_at_day_30,absolute_price_difference_at_day_30,percent_price_difference_at_day_30
2017-11-08 00:00:00,60.03,56.6,-3.43,-6.06,55.0,-5.03,-9.15,54.1,-5.93,-10.96,55.2,-4.83,-8.75,,,
2017-07-27 00:00:00,73.6,63.9,-9.7,-15.18,62.35,-11.25,-18.04,62.75,-10.85,-17.29,56.9,-16.7,-29.35,66.15,-7.45,-11.26
2017-05-10 00:00:00,77.45,74.2,-3.25,-4.38,78.4,0.95,1.21,72.15,-5.3,-7.35,75.35,-2.1,-2.79,72.3,-5.15,-7.12
2017-02-15 00:00:00,61.5,62.95,1.45,2.3,63.85,2.35,3.68,65.55,4.05,6.18,62.75,1.25,1.99,66.75,5.25,7.87
2016-11-10 00:00:00,47.85,49.45,1.6,3.24,46.1,-1.75,-3.8,48.65,0.8,1.64,52.1,4.25,8.16,43.35,-4.5,-10.38
2016-07-27 00:00:00,36.52,35.91,-0.61,-1.7,35.98,-0.54,-1.5,35.27,-1.25,-3.54,38.38,1.86,4.85,44.44,7.92,17.82
2016-05-04 00:00:00,24.96,25.4,0.44,1.73,25.69,0.73,2.84,26.51,1.55,5.85,25.95,0.99,3.82,28.04,3.08,10.98
2016-02-10 00:00:00,17.85,17.46,-0.39,-2.23,19.03,1.18,6.2,19.6,1.75,8.93,19.25,1.4,7.27,19.59,1.74,8.88
2015-11-04 00:00:00,22.63,22.74,0.11,0.48,23.14,0.51,2.2,23.06,0.43,1.86,23.87,1.24,5.19,23.35,0.72,3.08
2015-08-05 00:00:00,22.87,21.71,-1.16,-5.34,22.45,-0.42,-1.87,21.74,-1.13,-5.2,22.41,-0.46,-2.05,19.5,-3.37,-17.28
2015-05-06 00:00:00,22.46,23.52,1.06,4.51,23.51,1.05,4.47,23.84,1.38,5.79,25.39,2.93,11.54,24.08,1.62,6.73
2015-02-11 00:00:00,19.21,19.1,-0.11,-0.58,18.84,-0.37,-1.96,18.86,-0.35,-1.86,18.91,-0.3,-1.59,18.34,-0.87,-4.74
2014-11-05 00:00:00,17.69,17.06,-0.63,-3.69,17.49,-0.2,-1.14,18.98,1.29,6.8,19.99,2.3,11.51,19.9,2.21,11.11
